,3V3C,3V3T,3V6C,3V6T,4V3C,4V3T,4V6C,4V6T,11V2C,11V3C,11V3T,11V6C,11V6T,13V2C,13V2T,13V3C,13V3T,13V6C,13V6T,14V3C,14V3T,14V6C,14V6T,15V3C,15V3T,15V6C,15V6T
3.4.19.5,5,60,32,37,0,100,12,85,4,54,3,79,33,1,69,4,79,30,10,14,0,20,0,9,3,63,36
2.1.1.173,35,421,38,37,0,94,483,75,8,4,2,22,5,2,7,5,5,14,5,23,11,38,29,65,20,80,113
6.3.2.29,95,15,39,57,1,76,29,32,13,3,105,53,121,1,87,89,56,29,74,57,13,65,23,64,3,10,53
2.7.1.167,1,0,10,0,0,0,4,0,1,0,1,0,1,1,0,0,19,1,0,4,0,0,0,11,0,2,0
1.8.4.10,0,1155,8,130,0,18,104,46,10,0,0,10,36,0,1,2,1,68,0,2,78,4,275,33,5,9,0
3.4.24.84,76,3,49,32,0,20,18,28,46,3,0,53,0,21,4,82,251,68,2,61,0,38,1,36,34,27,66
5.5.1.7,1,17,2,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0
3.5.2.12,57,2297,97,80,93,596,557,404,248,28,420,569,210,63,88,60,234,45,97,168,17,139,90,732,123,95,105
1.4.9.2,0,0,6,1,0,0,1,0,2,1,2,18,2,38,324,1,55,4,53,1,0,15,2,1,4,0,72
2.6.-.-,62,47,147,87,74,51,111,59,64,3,316,82,76,18,53,35,198,26,10,88,37,39,27,152,48,63,268
2.3.1.178,2,0,0,3,0,1,5,0,0,1,34,65,1,0,4,0,2,1,87,1,2,5,19,60,7,75,1
1.1.1.47,7,78,104,134,1,719,305,164,35,41,3,85,41,129,6,36,24,179,64,35,7,49,1,62,3,193,117
3.5.1.87,176,28,120,37,0,33,9,17,31,11,22,76,21,2,4,5,128,26,89,68,59,67,60,99,38,19,67
3.5.1.4,103,144,141,95,1,325,193,136,91,91,62,208,166,58,378,135,273,144,147,186,6,119,7,200,36,70,216
4.1.1.46,54,29,17,11,0,9,3,7,3,41,2,8,2,2,3,1,30,6,54,20,1,14,0,7,18,0,4
3.5.1.106,1,0,0,10,0,0,16,1,3,0,0,15,3,0,126,0,0,2,30,4,0,0,0,2,1,0,0
1.13.11.9,37,103,75,127,0,2,46,21,6,26,1,33,5,0,3,1,23,22,1,12,0,15,20,1,5,1,42
1.13.11.56,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2.1.85,0,0,1,7,0,9,0,2,0,0,3,7,0,0,3,0,0,5,1,11,0,13,0,0,0,3,2
