,3V3C,3V3T,3V6C,3V6T,4V3C,4V3T,4V6C,4V6T,11V2C,11V3C,11V3T,11V6C,11V6T,13V2C,13V2T,13V3C,13V3T,13V6C,13V6T,14V3C,14V3T,14V6C,14V6T,15V3C,15V3T,15V6C,15V6T
1.1.1.339,1329,538,1246,1061,496,1718,482,549,336,50,1041,93,1937,330,843,471,2078,257,248,189,68,305,4,65,149,303,351
5.1.3.13,2667,3318,2401,4246,103,7215,2595,3676,2492,1535,5003,1529,7962,1049,5307,1683,13346,2669,3117,1280,614,1648,905,5160,1181,1223,4367
1.1.1.133,350,11682,356,2575,119,2453,3690,2730,907,242,1244,654,522,327,482,643,690,2082,1159,554,209,425,238,352,97,1575,1646
2.7.7.24,2354,3354,928,3758,210,13006,3550,3216,1738,528,885,1480,1415,847,2460,1095,4325,3573,2954,818,296,897,510,737,695,1375,2079
4.2.1.46,1546,6272,959,2606,537,4180,3431,2820,1986,717,2151,1649,2124,1755,6817,1520,6196,1871,3955,1281,442,1259,445,793,634,1508,1912
6.5.1.1,23,279,25,104,0,143,362,114,75,69,47,55,39,33,92,76,55,52,70,42,14,50,0,43,43,167,134
2.7.1.12,841,659,2430,134,0,225,255,668,594,273,1767,352,2582,244,929,643,3423,178,1313,259,42,356,114,226,288,64,413
1.2.1.2,2010,1713,444,6617,167,2680,1644,2087,2391,1766,1208,3287,2886,1174,1246,484,1663,3570,2252,1269,2337,1506,1921,543,356,2544,1558
2.1.3.-,1207,1272,274,871,3,1987,797,666,1089,533,3981,667,566,217,836,283,1436,391,1044,832,157,981,348,3453,290,442,1631
3.4.23.51,262,220,71,165,0,401,113,136,206,32,123,92,280,70,151,6,200,202,401,183,11,228,15,13,33,307,203
1.1.99.33,129,451,63,558,1,349,192,219,154,93,715,138,206,79,18,1,127,354,116,114,397,318,190,64,458,185,147
6.2.1.5,1477,6477,659,2286,95,553,3337,2356,1745,698,1381,2374,1413,362,1833,594,2688,2443,1772,786,737,934,512,795,526,1073,2068
2.3.1.61,650,17841,406,2254,224,1064,10025,3631,1282,374,140,1467,618,592,398,381,292,4657,160,194,217,328,287,697,177,945,1326
1.2.4.2,954,18611,370,2396,608,1577,8118,2388,1252,596,684,1535,736,640,235,872,369,3824,246,330,249,641,395,638,202,1579,1581
3.-.-.-,13459,20643,8402,30977,1565,37321,25658,22403,17573,12782,19155,11288,16624,6594,12471,8785,27504,18230,20304,9051,6886,8200,7068,8320,4377,8071,19796
3.4.21.102,1978,15121,932,5866,435,3576,4818,3093,2653,1557,973,2225,2143,1271,905,933,2131,4738,1638,2198,976,1701,1161,1370,788,2030,3269
2.7.1.17,1124,370,1448,1347,122,1115,1213,1179,704,368,6046,604,3903,360,2888,1003,4515,793,2216,1001,328,1151,179,975,548,526,1612
1.6.5.2,933,5059,707,1264,0,2604,1820,1345,814,307,834,1160,767,710,447,916,1672,1076,539,731,382,544,208,652,224,643,623
3.1.3.11,540,941,290,1374,123,1490,1004,651,816,172,833,667,699,195,314,341,1201,439,491,455,190,276,90,219,117,317,304
2.3.1.30,1712,4283,1558,4693,355,11496,2865,4820,2008,882,1754,1214,3487,1155,3718,3557,7615,2290,4534,4324,708,3332,753,752,527,1478,3422
1.16.3.2,223,2670,773,7958,185,9403,4241,6797,2538,1711,346,7257,3706,1156,269,1009,661,3494,1196,1669,1348,1663,945,480,422,1970,5947
3.4.11.2,3456,7307,2916,3507,448,7679,5639,3732,3478,1409,3937,3972,6223,1786,7479,2653,13110,3731,3683,2251,724,1897,396,2506,1692,2315,3531
2.6.1.1,4213,12813,2117,9788,106,11612,7475,5536,3917,1717,3688,3629,4456,1422,3582,2699,7203,5298,4580,2620,965,2357,802,2090,1228,2417,3857
6.1.1.20,119,1939,97,632,1,272,408,605,279,91,213,427,209,127,122,146,245,291,82,57,74,96,28,263,93,245,198
5.3.1.13,965,1499,292,1664,3,1402,740,811,1159,525,477,733,570,158,523,148,802,834,809,510,213,412,231,258,221,391,727
3.1.3.45,521,1543,325,1920,0,1730,675,722,852,211,461,610,486,486,948,314,1008,652,1024,405,427,349,402,204,147,845,1436
4.1.3.27,2497,11322,2636,2051,530,2741,2626,2493,1370,370,2310,1791,3217,553,1976,1354,6141,1205,2953,854,193,1140,235,2927,828,1401,1868
4.1.1.3,49,113,23,389,0,48,112,44,19,5,1,149,79,27,7,41,91,93,22,85,18,100,24,56,19,58,372
1.1.1.188,559,1734,317,1263,104,2562,617,842,1068,405,1004,1004,632,213,435,352,621,597,219,507,496,373,411,542,272,556,898
3.1.1.-,3056,2366,1681,3201,196,14798,4143,2690,1808,1138,1166,1892,2021,478,1255,933,3128,2027,2460,2812,559,1883,502,1067,353,1068,2291
3.6.1.11,372,1261,77,482,68,561,477,420,281,178,108,448,205,164,88,80,324,280,178,192,65,197,57,324,34,245,333
4.6.1.1,1711,1618,1982,1524,201,1418,760,899,1263,607,1485,654,2817,593,2307,788,2508,1136,1479,886,230,1065,193,590,308,381,1213
4.2.1.75,157,945,91,219,0,152,126,144,149,153,16,129,167,74,12,46,68,385,18,163,164,379,1766,817,38,138,99
3.1.3.73,9,142,42,671,0,223,208,472,128,37,49,316,37,18,21,2,88,354,153,57,4,58,115,72,28,85,390
2.7.1.53,68,5,55,15,1,44,12,30,27,5,57,44,216,2,52,43,154,48,62,40,12,23,11,44,14,11,70
1.17.4.1,7050,15718,4935,12526,981,17208,11209,8545,8290,3837,10766,8305,11115,3608,18679,6035,18627,7666,10852,4330,3469,3831,2690,4750,2075,6400,9483
3.1.3.27,137,3459,52,556,227,369,985,407,198,123,227,427,799,137,41,35,57,247,104,94,787,140,669,297,64,377,137
2.5.1.54,3035,13514,3694,7942,876,11412,8103,6669,3514,2030,4793,2906,5069,2597,3425,2728,7391,4774,3955,1676,2042,1753,1672,1587,1299,2875,4074
3.4.24.70,280,1720,212,1166,9,898,809,569,1481,634,217,624,556,330,371,681,309,596,499,699,491,433,246,228,174,346,720
2.7.1.-,5022,10279,4614,9706,489,8348,7172,5354,3957,2443,7865,3509,7039,3391,10452,4307,11745,6025,6620,3788,2887,3773,1867,2995,1347,2809,5712
2.7.3.9,18651,25627,7192,33735,1960,21738,31825,33165,12892,4058,8433,14659,9895,3361,7384,4135,8910,19503,14125,4285,4772,5574,3444,7698,5544,10217,15612
2.7.11.-,1805,10105,1148,10589,16,12481,9016,7315,3780,1396,2434,5676,3491,1278,5671,1418,4034,6179,4088,1668,630,2368,675,1599,751,3126,4190
3.6.1.8,58,130,174,370,0,51,88,125,115,35,106,157,22,74,105,47,137,173,55,140,26,112,11,78,6,96,222
2.7.7.9,2752,7243,1260,7502,321,8658,3974,5070,2213,1501,2612,1938,2236,3929,31427,5293,18108,4678,16424,1934,965,2585,696,1699,3416,1738,3004
2.1.1.193,737,2576,594,1955,371,2374,1424,1472,880,417,699,781,941,279,1069,574,1744,1080,1112,815,389,838,320,763,803,678,1196
3.2.2.-,970,1901,830,1862,369,2424,1664,1471,591,582,979,725,1012,615,1154,584,1247,1101,1417,721,509,739,381,755,357,799,961
2.7.6.5,5741,11309,4689,14553,443,11930,7454,8010,6540,2717,8034,3378,7306,2553,8743,4082,24095,6565,9338,4983,2096,5037,2028,2093,2893,4001,5725
2.7.1.107,414,1037,526,1654,1,3269,750,1135,980,551,810,966,505,373,571,668,1070,927,1231,900,518,562,433,484,355,592,1553
2.7.1.40,7382,21686,4182,55611,779,44421,22371,31888,16596,11369,5861,16935,9775,5134,10592,5066,15166,16755,14478,11253,4098,9429,4552,4548,2396,9172,14380
4.2.1.-,418,6127,329,5220,106,3332,1819,2631,918,538,309,675,641,354,315,463,1175,2156,589,1431,2375,1644,1442,369,493,2362,3194
2.8.1.12,56,34,20,84,0,42,41,35,93,38,63,226,57,27,35,0,84,97,104,69,7,43,1,154,15,55,135
1.7.2.3,202,375,169,324,13,689,276,296,343,254,123,241,133,45,24,168,158,352,197,184,235,257,140,179,60,155,189
2.7.7.75,56,594,8,243,404,235,149,546,51,24,10,86,42,0,59,26,72,63,9,40,2,48,19,376,27,86,5
2.4.1.182,18,321,28,99,1,35,75,49,9,2,1,57,92,22,0,32,9,8,3,9,15,21,35,102,24,52,5
2.7.7.41,2454,4069,728,3611,394,4237,3344,2751,1926,936,1666,2743,1711,1068,3697,1457,3769,2310,2381,2311,425,1897,250,2548,511,1278,2936
2.7.4.22,167,606,32,256,0,260,420,91,123,29,39,157,89,13,92,78,139,133,107,23,11,31,7,127,13,80,43
3.4.21.105,518,866,137,1156,3,1496,997,918,1050,480,470,573,768,352,313,444,1163,1016,520,324,265,417,94,228,112,343,703
1.1.1.86,179,363,76,253,1,370,1698,303,65,34,50,226,87,29,74,74,303,70,102,123,282,126,347,121,28,530,375
3.2.1.-,17786,26815,8367,22133,1946,32877,17180,18094,18338,4592,15314,10496,16986,8658,54892,14932,43210,20531,24259,8070,2172,7442,2248,5275,3819,8233,9765
2.7.7.-,500,723,701,887,71,2787,1125,681,776,373,531,691,654,407,225,413,398,1187,328,339,268,300,115,775,158,280,1224
6.1.-.-,461,1080,324,1619,76,1157,885,941,443,360,174,644,266,266,786,410,1276,624,499,383,158,399,272,499,217,708,1588
3.1.3.3,1298,1963,1710,7487,459,3235,2083,2129,1294,929,1225,1098,1434,904,4187,1401,3660,1401,2572,3101,3320,1676,2444,3626,1682,2150,9941
5.4.3.-,2,91,13,58,1,53,8,17,10,68,45,42,2,55,0,2,29,19,4,73,4,27,0,41,0,6,105
4.1.99.2,34,808,103,500,1,80,87,41,63,6,7,22,0,189,200,26,203,273,73,108,40,88,94,104,45,207,190
2.3.1.51,2786,3367,1553,2938,162,4448,2212,2490,1366,935,1065,1522,1929,617,3038,1043,3716,2187,3341,1445,564,1389,837,1370,474,1159,2315
1.97.1.4,8624,6733,4770,7260,347,17301,8963,7762,9941,2736,7802,2231,4789,4535,56132,10554,41238,6304,11537,2157,633,2076,543,1515,2271,1902,2971
2.3.1.54,36195,105626,35985,95913,4186,76503,79013,84058,49086,18783,73721,51898,30630,18223,67875,32956,159058,44460,58306,21370,19266,18237,18761,18188,14566,29588,41918
3.4.21.89,3698,5655,2484,8468,328,5317,7448,6250,4805,4010,2955,2567,2657,1913,7598,2868,8037,4048,4826,2367,1596,2144,1408,2234,977,3136,3395
3.2.1.1,1467,8088,429,2764,136,817,3438,1903,2515,898,361,1021,836,300,729,491,623,2257,1271,1573,909,1578,708,403,187,1259,2126
2.7.7.80,45,411,84,175,0,84,77,103,70,98,6,71,38,184,51,30,47,173,13,159,58,103,111,186,29,27,109
2.10.1.1,2294,13573,1393,2767,1328,3105,2435,2639,2138,987,1876,1592,2392,925,3863,1818,5153,1944,3022,928,630,1158,740,775,452,1433,1553
3.5.4.16,19,679,77,80,0,208,404,292,89,51,90,110,9,57,5,43,35,260,70,67,19,70,36,133,9,27,9
2.5.1.9,733,2199,552,1581,322,823,840,1160,687,391,233,757,756,476,2801,866,1129,736,1361,519,439,554,435,480,305,555,755
4.2.-.-,1320,1539,645,1142,435,2418,1149,1281,1094,376,3183,471,8517,676,6032,1076,4834,666,2718,562,216,547,179,329,475,556,705
3.2.1.23,10017,15490,3671,9478,510,7865,10579,6819,4977,3365,2585,3237,2964,1530,8032,2877,7392,10278,9624,3817,3328,5254,3426,3832,1722,2487,6192
5.1.-.-,917,535,415,1479,88,1897,551,911,730,534,373,313,1266,198,87,206,486,572,569,461,66,411,44,346,531,522,1148
5.1.3.22,68,247,137,897,30,285,198,177,98,62,2,113,68,40,196,117,171,402,98,236,85,145,97,106,30,366,366
4.1.1.85,4,1,16,6,0,1,1,1,4,0,1,16,0,0,0,0,17,0,0,1,0,5,1,4,1,3,40
3.6.-.-,4684,10518,2278,12539,571,14749,6908,8467,4375,3083,2298,2891,3574,2356,5751,2036,9686,4882,9453,5244,1958,4325,3403,1729,1007,3832,6184
3.6.3.19,1024,1594,193,668,21,723,831,382,172,241,352,270,35,74,77,201,157,309,280,169,129,240,126,196,144,266,248
5.4.99.26,66,63,49,16,0,24,18,11,57,40,5,29,30,59,2,20,34,43,4,14,11,12,3,98,5,18,17
2.2.1.2,213,257,92,196,153,185,123,28,28,35,29,70,490,34,8,0,47,90,44,101,6,85,34,156,24,96,108
2.5.1.15,808,1347,247,1538,3,1086,789,696,1446,800,501,437,216,125,453,174,660,728,768,586,314,607,387,365,178,335,544
2.1.1.176,63,116,212,77,0,27,76,31,44,18,29,107,63,4,8,48,177,92,254,66,24,113,26,234,231,95,291
3.1.3.48,3782,6524,1244,3822,65,5822,3194,3120,3317,1338,2535,1859,2976,2146,15152,2633,8027,2716,5763,1352,403,1124,395,1074,756,1282,1798
1.20.4.1,4,682,154,1206,12,2929,1110,579,194,159,98,262,181,148,43,41,117,621,162,111,14,90,5,99,28,420,246
2.4.2.3,525,4268,539,1409,394,465,850,459,473,216,71,253,93,438,92,189,409,865,545,334,501,320,326,207,146,1042,530
2.1.3.3,51,515,138,927,0,863,490,479,283,21,3,413,78,10,11,15,85,163,99,198,70,175,42,186,19,482,414
2.7.2.2,698,1739,464,2601,457,4776,2123,2455,943,784,428,610,415,233,1590,886,4185,3628,7188,551,448,901,278,644,585,1058,838
2.3.1.9,607,4423,526,9488,194,7342,14144,7167,1210,877,1132,1324,1013,333,636,450,1988,3447,2357,1692,891,2779,1808,627,452,2156,2939
2.8.3.8,507,1385,264,4687,9,1700,5990,3423,610,277,215,1002,743,53,396,112,989,1455,1084,490,340,1031,217,116,209,1265,1612
2.5.1.18,876,372,264,517,42,2816,393,1199,728,959,381,346,681,552,4113,1621,2810,512,2906,1098,96,1000,62,258,233,407,1052
3.1.11.2,6982,4752,1553,3656,359,5076,2060,2409,2998,2049,4056,1506,2899,1267,7367,3456,6999,1787,3129,1762,683,1494,996,1949,1185,1577,2617
2.7.8.6,4718,595,1169,1165,98,1779,606,1529,771,434,1145,229,550,2408,22717,3467,9759,835,7703,424,88,477,227,127,519,469,517
4.3.1.1,5733,13528,1355,9348,467,5234,6940,6564,4563,5721,2390,3805,5435,2376,8887,2888,8084,7044,6179,2497,4444,2922,3543,861,1908,3310,4383
1.3.5.3,1,2,28,14,0,27,13,10,12,1,0,8,6,19,0,0,1,2,0,0,0,1,1,16,1,0,2
1.1.1.38,5765,2835,3244,2371,358,4041,2088,3753,4918,880,23870,1501,19409,1681,15084,4355,47884,2390,10537,2150,984,2744,880,511,2272,1563,1980
2.4.2.-,368,2696,845,1152,436,3271,2587,1330,774,424,787,923,666,437,291,169,395,1258,351,304,182,350,178,450,182,678,1066
6.1.1.21,751,392,680,1443,0,1650,727,1542,940,421,1888,444,3991,350,1008,650,3172,664,1097,615,241,892,120,155,219,400,636
2.4.1.56,49,251,162,1155,0,367,244,391,488,76,400,380,790,31,8,65,474,703,453,116,213,60,89,72,57,116,193
2.7.6.3,1524,1082,897,2354,238,3126,1865,2185,949,570,366,784,803,662,1829,723,2388,1521,1960,1063,194,838,199,520,273,797,1204
2.7.1.69,1671,3603,1143,4443,548,5452,2992,2916,1357,1924,1240,918,443,368,4038,610,3317,2117,2927,1351,657,1113,734,924,301,1796,1798
1.1.1.251,26,0,15,46,0,83,21,19,34,20,8,18,13,6,6,5,65,31,50,48,0,56,32,127,3,40,18
1.14.-.-,177,430,246,654,299,477,177,127,214,115,221,273,301,820,260,2208,222,673,180,240,187,247,120,188,79,204,497
3.4.22.-,10568,9891,5991,40846,1586,67709,50703,42505,7621,5953,7622,10565,6915,3584,25513,4227,11693,10161,22682,14186,8678,18912,15047,3215,3034,8920,33572
2.7.1.45,690,256,156,932,1,728,1082,715,133,101,37,345,219,82,171,68,414,225,559,256,71,379,146,264,85,318,279
2.4.1.54,1604,1576,2134,1712,25,6206,1353,2022,1476,612,4695,1122,5823,909,10185,3029,15733,1268,5396,994,370,1197,449,1175,998,437,1260
1.1.1.370,3445,1538,720,1103,0,3220,866,1644,534,433,70,288,259,268,502,283,849,580,654,833,109,618,20,136,73,546,991
1.2.1.-,385,222,374,279,142,1152,277,198,86,169,205,198,240,121,458,225,545,133,290,391,72,198,15,664,123,196,442
2.4.99.-,2,633,21,420,0,616,163,289,172,47,0,57,42,0,1,30,47,216,42,33,11,47,4,32,16,8,138
4.-.-.-,268,1268,286,802,330,609,611,522,700,181,619,563,1161,158,639,357,1285,448,638,277,232,355,334,473,360,510,611
3.1.26.4,156,555,134,464,0,317,205,196,249,56,133,207,135,89,10,31,384,222,162,169,128,199,165,363,54,209,383
2.7.10.-,1437,2382,1772,3805,131,2456,1189,3321,1120,1136,473,977,1070,1364,2787,2139,3161,1904,3136,1867,1199,1512,998,398,300,1182,1880
3.1.4.4,20,2,21,17,0,51,47,28,5,5,18,39,30,3,9,29,63,48,9,51,3,32,11,36,5,23,50
3.4.11.1,60,106,34,172,0,19,18,16,70,36,0,11,118,1,2,51,37,81,59,41,2,41,1,36,25,21,129
3.1.3.90,809,3230,197,4986,121,3083,3317,2358,2685,1022,1374,1855,798,788,560,427,981,2164,1415,548,1009,528,1024,1122,575,2490,3438
2.1.1.14,2829,2096,2946,581,22,1103,2115,1486,1330,206,7316,359,3942,279,2187,690,5745,791,1390,385,267,717,183,201,581,1730,1038
3.1.11.3,1,2,0,3,0,1,0,3,0,0,1,3,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1
3.1.22.4,60,130,54,6,0,12,5,3,16,6,295,297,50,15,50,145,952,122,75,103,3,148,23,496,71,130,838
3.2.1.17,3149,8176,3639,112783,429,39634,224703,151794,8741,8738,3812,21686,11379,2602,8716,2406,8273,9488,10962,3946,1773,6902,2853,3889,3106,25527,32203
3.5.99.6,0,69,1,695,0,106,69,435,47,2,1,68,27,3,2,0,61,125,203,49,51,106,31,30,7,0,84
2.4.1.288,3580,409,968,1690,62,2577,1122,1054,940,78,393,677,576,560,4520,861,2564,1019,1991,750,165,573,94,297,183,737,427
5.4.99.9,16253,6548,11846,7735,2753,9195,4173,8138,2645,1946,16398,1518,7145,28798,378661,70674,235098,7633,48460,3503,925,4597,1539,715,11971,1043,1607
2.4.1.287,64,199,163,531,0,406,768,575,258,96,88,220,290,111,228,2,44,391,11,104,16,82,0,109,10,57,109
2.1.1.13,839,842,1039,5317,347,3004,1591,2648,2269,415,1691,1906,1513,540,1415,526,1749,1791,2400,1212,479,974,576,1213,489,2028,2730
5.3.1.9,230,2283,170,712,408,2417,837,526,287,288,363,204,301,35,428,137,466,378,311,160,62,128,36,101,113,335,397
1.12.99.6,4967,1817,585,3657,1,1307,1407,2416,1306,336,3147,841,1730,363,941,106,1099,988,1285,444,537,697,523,579,114,226,766
3.4.23.-,90,118,130,180,0,125,110,103,111,95,206,75,104,0,6,46,131,47,66,40,11,51,7,29,2,6,83
3.2.1.93,2862,1653,3800,4258,126,4406,4047,2790,1218,368,3573,2554,2715,392,3526,722,7031,2157,4606,802,121,991,245,3775,872,1558,7473
2.7.1.4,3757,13362,2854,8200,223,4903,2174,3757,4383,1784,11418,2198,8367,1286,9440,2657,12845,2060,5534,2464,549,2400,383,465,1100,1543,2083
3.2.1.26,3601,4349,2391,5542,745,11184,7593,6074,2033,1145,1733,1548,1283,733,2591,1913,4336,3994,3190,2922,1163,2067,858,1770,580,2560,2936
2.5.1.55,6,74,21,286,0,84,36,113,65,21,1,63,46,31,8,0,27,102,23,132,1,47,10,18,3,29,115
3.1.21.-,6326,1679,20626,2281,214,1399,1252,998,428,412,283,844,977,143,502,442,526,755,734,1214,934,899,1850,580,221,417,814
2.1.1.37,1752,1426,1301,2513,226,1727,770,705,1121,389,1062,664,493,384,1106,439,923,789,801,702,1159,728,1161,539,311,644,1266
1.7.-.-,46,665,293,713,0,2262,163,1340,167,36,917,257,493,21,250,128,1080,455,513,632,289,332,92,107,383,263,400
2.4.2.29,0,1,14,33,1,0,38,1,5,34,95,49,20,0,2,21,1,25,0,0,7,12,0,66,22,10,22
2.7.2.4,27282,17997,12565,8603,206,19106,6964,6369,4110,2420,5416,3025,3636,2100,11343,3715,15415,4594,8430,3770,1412,2671,1662,1448,1624,3631,4374
1.7.2.5,2807,13669,2970,3511,5020,7219,11254,4315,2629,921,3545,2427,1309,4867,35776,4441,14505,4255,5002,962,508,1272,518,1184,1044,5361,2149
3.1.3.10,95,575,137,868,1,573,496,415,478,199,45,223,307,169,95,219,325,734,291,433,176,546,134,253,134,295,355
2.4.1.117,37,266,35,53,0,1,59,9,18,1,1,27,19,0,0,24,10,10,2,9,17,18,0,22,0,10,6
1.14.14.-,2295,737,356,126,63,282,340,144,207,49,199,252,160,207,117,193,158,306,21,188,22,173,58,328,92,299,453
6.3.1.-,687,269,414,493,0,727,242,226,105,198,302,170,423,181,1374,379,1222,358,673,174,223,221,170,127,130,181,172
3.1.25.1,2,20,0,53,0,11,20,4,3,2,0,3,0,0,0,0,6,24,0,0,0,4,9,2,1,31,32
5.4.99.27,0,10,0,1,238,0,39,0,2,0,93,0,0,0,0,0,16,3,1,10,0,2,2,27,35,0,0
1.3.1.98,16,117,20,54,0,2,38,18,97,101,4,49,32,6,5,4,61,74,9,14,5,29,1,124,15,18,70
1.8.1.2,228,1151,434,173,0,199,615,1956,431,430,90,324,942,117,562,331,448,345,582,168,30,116,4,117,226,215,2409
6.1.1.14,129,285,144,460,64,124,65,201,162,184,406,172,211,7,93,39,75,277,198,81,130,94,73,19,29,275,215
2.1.2.9,0,290,18,119,55,31,312,63,66,5,61,40,42,2,0,2,5,122,2,18,7,14,4,45,46,160,27
2.8.1.1,252,2143,1342,2362,152,3011,2066,1706,954,253,481,858,466,339,387,59,811,1108,778,978,165,554,175,389,81,1088,1530
2.4.1.50,3,0,0,34,0,0,3,3,1,10,0,7,6,1,5,0,18,1,77,5,0,2,0,3,0,1,9
3.5.2.6,12842,7458,5685,1854,123,960,2135,1924,3066,2351,1833,5860,7645,652,3120,866,2104,1728,3785,3213,702,2480,721,13776,704,1109,2223
3.5.4.3,742,344,575,1363,14,280,482,533,283,143,143,3668,283,35,176,1002,5801,909,1866,411,149,524,218,2682,529,938,4452
1.14.13.178,0,19,7,18,0,2,0,1,19,1,0,4,3,1,1,0,2,8,0,2,0,4,0,3,1,0,4
3.6.1.27,184,152,103,143,0,161,85,47,102,83,15,838,384,60,52,12,483,178,272,184,8,111,14,711,40,105,272
3.4.24.65,0,0,0,6,0,1,2,0,1,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3.1.1.3,4109,336,894,288,0,637,554,381,163,105,203,205,524,65,502,223,422,166,263,468,93,312,143,626,97,292,379
1.5.1.39,489,613,220,852,1,550,371,818,398,106,6,1265,325,572,3438,886,2832,642,1182,432,101,331,97,330,180,755,221
1.14.19.n4,29,6,7,7,0,23,4,6,5,25,3,12,8,2,1,6,21,9,5,34,6,10,56,19,2,10,77
3.1.4.3,1394,785,573,58,107,312,72,86,306,280,422,238,58,269,870,329,310,136,940,250,28,123,91,524,188,73,333
2.4.2.19,445,949,136,699,151,459,278,684,197,144,53,530,243,129,96,88,492,251,242,314,210,307,201,678,240,225,441
2.4.1.290,10,5,39,156,84,173,53,105,81,50,10,74,21,18,2,69,45,130,50,87,20,28,0,34,6,48,72
2.7.8.33,2164,1971,1146,2019,65,2668,1073,925,3326,1106,1393,1262,593,813,1074,1070,2184,1159,1674,762,161,684,172,1349,385,797,1394
2.3.1.203,68,13,28,39,0,38,38,43,1,1,2,11,1,9,0,2,41,25,0,40,36,43,0,69,3,19,72
2.3.-.-,97,335,142,657,1,651,363,476,314,569,83,754,466,165,232,46,391,325,394,404,102,225,12,208,36,111,518
1.1.1.28,892,7012,274,2095,118,1132,5883,2117,758,238,156,775,464,556,506,631,391,2772,327,752,2481,786,2344,723,431,1147,1303
2.6.1.57,3149,1450,1883,2189,81,2723,1369,2183,617,552,1078,391,711,2612,27800,4018,18304,1497,11056,1364,746,1726,734,268,1025,1107,1398
1.2.1.18,21,82,1,15,0,47,5,11,15,3,2,43,16,0,2,0,38,23,2,14,0,32,0,20,0,19,42
1.1.1.31,130,73,178,97,0,361,137,200,44,28,26,54,98,4,5,13,50,45,6,12,2,12,11,31,1,4,27
6.2.1.1,16,88,80,35,106,222,241,220,110,95,137,265,110,803,304,455,1282,599,1836,101,34,70,26,124,74,69,173
4.2.1.17,775,1889,262,1130,1,169,344,395,602,685,454,554,500,154,111,131,299,448,367,240,370,241,288,276,72,213,615
3.1.2.4,48,87,158,148,51,211,93,104,115,40,12,189,202,93,101,112,251,409,204,56,7,56,3,90,32,51,137
2.3.1.184,5,3,7,4,0,0,1,2,9,1,0,4,3,0,4,8,17,7,0,3,1,15,0,9,0,17,28
6.2.1.-,2071,2394,1341,1771,110,2186,2723,1722,947,372,596,1448,1346,364,263,441,839,1864,703,589,127,531,168,850,173,1206,1820
2.7.7.47,0,1,2,44,0,3,41,37,2,6,0,3,26,2,3,0,32,9,145,6,0,10,1,17,1,1,6
1.13.11.24,54,48,75,53,2,129,53,83,84,71,71,679,138,4,6,18,162,62,66,174,12,154,7,894,26,93,318
4.2.2.-,464,306,141,422,1,262,273,189,725,406,426,594,468,186,1087,513,956,318,889,476,81,246,112,377,165,387,517
4.3.1.9,3,756,54,41,0,52,165,146,60,23,3,61,112,23,1,85,7,37,64,13,12,14,0,54,43,180,102
3.4.23.36,2804,537,1378,1531,206,1206,1302,2160,1723,343,1574,281,3099,891,6862,1722,8427,1213,6390,529,84,1167,88,90,544,568,504
1.16.1.1,1046,680,236,624,155,1324,858,452,1490,246,1067,500,843,273,454,236,1736,427,543,216,45,141,47,133,104,362,239
2.3.1.28,84,25,14,150,3,187,156,160,207,33,3,161,140,55,2,64,78,36,42,78,46,51,183,72,14,118,79
3.1.22.-,24,128,9,145,1,176,144,113,61,2,71,50,55,35,3,62,93,108,44,27,24,39,0,80,17,65,90
2.7.1.95,100,8,102,9,0,34,70,36,29,10,43,33,49,2,10,35,50,30,99,34,43,25,15,41,23,7,1
2.3.1.60,1,0,7,16,0,0,10,0,0,0,0,0,1,0,0,0,0,9,0,1,0,13,0,10,0,2,24
1.1.1.3,8299,5215,10645,5288,467,4341,5222,3549,2761,1339,5656,5247,4915,847,5002,2217,10908,2220,5046,2141,954,2007,748,9069,1179,1941,3488
1.5.5.1,46,397,47,113,0,104,352,109,10,3,120,279,49,44,22,7,161,69,96,54,38,44,61,152,90,276,288
